company_short,year,bertopic_topic,topic_chunk_count,total_valid_chunks,topic_proportion
JD,2021,17,1,138,0.007246376811594203
JD,2021,20,2,138,0.014492753623188406
JD,2021,21,1,138,0.007246376811594203
JD,2021,23,3,138,0.021739130434782608
JD,2021,26,2,138,0.014492753623188406
JD,2021,30,2,138,0.014492753623188406
JD,2021,33,1,138,0.007246376811594203
JD,2021,36,1,138,0.007246376811594203
JD,2021,37,6,138,0.043478260869565216
JD,2021,38,3,138,0.021739130434782608
JD,2021,39,1,138,0.007246376811594203
JD,2021,43,4,138,0.028985507246376812
JD,2021,44,1,138,0.007246376811594203
JD,2021,45,1,138,0.007246376811594203
JD,2021,46,1,138,0.007246376811594203
JD,2021,47,2,138,0.014492753623188406
JD,2021,48,5,138,0.036231884057971016
JD,2021,49,1,138,0.007246376811594203
JD,2021,50,4,138,0.028985507246376812
JD,2021,51,2,138,0.014492753623188406
JD,2021,52,1,138,0.007246376811594203
JD,2021,54,1,138,0.007246376811594203
JD,2021,57,3,138,0.021739130434782608
JD,2021,58,1,138,0.007246376811594203
JD,2022,0,14,152,0.09210526315789473
JD,2022,1,18,152,0.11842105263157894
JD,2022,2,3,152,0.019736842105263157
JD,2022,3,2,152,0.013157894736842105
JD,2022,4,7,152,0.046052631578947366
JD,2022,5,1,152,0.006578947368421052
JD,2022,6,23,152,0.1513157894736842
JD,2022,7,1,152,0.006578947368421052
JD,2022,8,1,152,0.006578947368421052
JD,2022,9,3,152,0.019736842105263157
JD,2022,10,6,152,0.039473684210526314
JD,2022,11,5,152,0.03289473684210526
JD,2022,12,5,152,0.03289473684210526
JD,2022,13,1,152,0.006578947368421052
JD,2022,14,3,152,0.019736842105263157
JD,2022,15,2,152,0.013157894736842105
JD,2022,16,4,152,0.02631578947368421
JD,2022,17,3,152,0.019736842105263157
JD,2022,18,3,152,0.019736842105263157
JD,2022,20,1,152,0.006578947368421052
JD,2022,21,1,152,0.006578947368421052
JD,2022,23,2,152,0.013157894736842105
JD,2022,26,2,152,0.013157894736842105
JD,2022,28,2,152,0.013157894736842105
JD,2022,30,1,152,0.006578947368421052
JD,2022,33,2,152,0.013157894736842105
JD,2022,36,1,152,0.006578947368421052
JD,2022,37,6,152,0.039473684210526314
JD,2022,38,1,152,0.006578947368421052
